FS_Key_Code,FS_Key_Description,FS_Key_Manufacturer,FS_Key_Dimensions,FS_Key_Thickness,FS_Key_Product_Style,FS_Key_Color_Finish,FS_Key_Substrate,FS_Key_Notes_Location,FS_Key_Unit_Cost,FS_Key_Link,FS_Key_Dropbox_Location,FS_Key_Contact
CT-08,"EXTERIOR WALL TILE
(LARGE FORMAT)",TRANSCERAMICA,"SEE DWGS
40"" X 120""",6mm,MAXIMUM,MEGAGREY / HONED,,"GROUT: MAPEI KERAPOXY
SEAL ALL 1/16"" GROUT JOINTS MAX - TIGHT MITER FOLD SEQUENCE MATCH AT OUTSIDE CORNERS.
",,http://www.granitifiandre.com/porcelain-tile/technical-ceramic/megalith-maximum/megagrey/,,"Nicole Grieco
314 West Superior Street, Suite 100
Chicago, IL  60654
312-506-2880
ngrieco@transceramica.com"
GL-01,INSULATED GLASS,,,,,,STOREFRONT,NOA APPROVED,,,,
GL-02,TEMPERED CLEAR GLASS,,,,,,BOOTH DIVIDERS,NO VISIBLE LABLES,,,,
GL-03,RIBBED PRIVACY GLASS  (BATHROOM DOOR),SPECIALTY ARCHITECTURAL PRODUCTS (OR EQUIVALENT),SEE DWGS.,5mm,ESTRADO,RIBBED,,RESTROOM DOORS,,,,"Igor Beaufils
Specialty Architectural Products, LLC
1977 Pinelawn Dr.
Toledo, OH 43614
Direct Line (419) 382-0706
igorglass@sbcglobal.net"
GL-04,ACRYLIC (LIGHT FIXTURES),"ACRYLITE
(OR EQUIVALENT)",SEE DWGS,,TBD,TBD,,LIGHTING ELEMENTS,,,,
GL-05,TEMPERED MIRROR,VARIES,SEE DWGS.,"1/4""",MIRROR,CLEAR,"FIRE TREATED PLYWOOD (PAINT EXPOSED EDGES BLACK AND HOLD  BACK FROM EDGES, TYP.)","FOR USE AT RESTROOM MIRRORS
FLAT POLISH EDGE (NO BEVELS)",,,,
GL-06,BRONZE MIRROR,VARIES,SEE DWGS.,"1/4""",TBD,BRONZE,PLYWOOD,WALL MOUNTED BRONZE MIRRORS,,,,"IGOR BEAUFILS
SPECIALTY ARCHITECTURAL PRODUCTS, LLC
419.382.0706
IGORGLASS@SBCGLOBAL.NET"
MTL-03,"STAINLESS STEEL
(WALL PANELS)",VARIES,SEE DWGS.,16GA,#304,BRUSHED,"MOISTURE & MILDEW RESISTANT GYP. BD. TYPE ""X""",FOR USE AT PORTION OF KITCHEN WALLS,,,,
MTL-04,HOT-ROLLED STEEL,VARIES,SEE DWGS.,,ARCHITECTURAL,CLEAR SATIN FINISH TO PREVENT OXIDIZATION,,FOR USE IN DECORATIVE MILLWORK AND WALL BASE,,,,
MTL-05,OIL-RUBBED BRONZE,N/A,SEE DWGS.,,,LIGHT OIL RUBBED BRONZE,VARIES - SEE DWGS,BAR BOTTLE DISPLAY,,,,
MTL-06,COPPER (CANOPY),VARIES,SEE DWGS.,16 OZ,"FLAT LOCK SEAM, CLEATED",PATINA'D OLD PENNY: SEALED TO PREVENT GREENING / GLOSS,"5/8"" DENSGLASS FIREGUARD EXTERIOR SHEATHING","INCRALAC BY STANCEHM: 2 COATS CLEAR ORGANIC ACRYLIC LACQUER, GLOSS",,,,
PT-01,INTERIOR LATEX PAINT,SHERWIN-WILLIAMS,N/A,,HARMONY INTERIOR LATEX,SW7005 PURE WHITE,HARMONY INTERIOR LATEX PRIMER,,,,,SHERWIN WILLIAMS
PT-02,INTERIOR LATEX PAINT,SHERWIN-WILLIAMS,N/A,,HARMONY INTERIOR LATEX,SW6993 BLACK OF NIGHT / FLAT,HARMONY INTERIOR LATEX PRIMER,BLACK OUT' PAINT,,,,SHERWIN WILLIAMS
PT-03,INTERIOR LATEX PAINT,SHERWIN-WILLIAMS,N/A,,HARMONY INTERIOR LATEX,SW7068 GRIZZLE GRAY,HARMONY INTERIOR LATEX PRIMER,,,,,SHERWIN WILLIAMS
QT-01,QUARRY TILE,METROPOLITAN CERAMICS,6x6,"1/2""",QUARRY BASICS,CHESTNUT BROWN #108,CONCRETE SLAB,"BACK OF HOUSE TILE;
6"" COVED BASE;
12.2%  RECYCLED CONTENT",,,,"DIANNE K. YOUNG / METRO CERAMICS
DYOUNG@IRONROCK.COM
330.484.7449"
RB-01,RUBBER WALL BASE (MEZZANINE),JOHNSONITE,"4.25""","0.080""",TRADITIONAL TOED BASE,63 - BURNT UMBER,VARIES,"CLASS 1
UTILITY MEZZANINE & STORAGE ROOMS ONLY",,,,"Jeff Tolle
E J Welch / Johnsonite
Jtolle@ejwelch.com
(847) 727-2679"
ST-01,PRADA QUARTZITE OR SIM,VARIES,SEE DWGS,SEE DWGS,FOOD GRADE SEALANT,PRADA QUARTZITE,MAINE PLYWOOD,BARTOP,,,,
ST-02,CALACATTA MARBLE (HOST),STONE SOURCE OR SIM,SEE DWGS,"1 1/4""",FOOD GRADE SEALANT,CALACATTA  ,MARINE PLYWOOD,,,,,"Ira Harth
312.237.4032
iharth@stonesource.com"
ST-03,NOT USED,,,,,,,,,,,
ST-04,SPANISH BLACK SLATE,STONE SOURCE OR SIM,SEE DWGS,"1 1/4""",NATURAL / CLEFT,BLACK,SEE DWGS,COLUMN AT ENTRY,,,,"Ira Harth
312.237.4032
iharth@stonesource.com"
UP-01,BOOTH UPHOLSTERY,CONCERTEX,"54"" WIDTH",N/A,INCOGRITUS,COLOR: TRUFFLE,"USG MICORE MINERAL FIBERBOARD
CLASS A RATED -ASTM E84",CLASS 1 -NFPA 260,,,,
UP-02,SEAT UPHOLSTERY,ARC COM,"54"" WIDTH",N/A,"DAKOTA 
# AC-69920",COLOR: STRAWBERRY #1,,CLASS 1 -NFPA 260,,,,"Jim Mrkvicka  Arc/Com                         Merchandise Mart                                                   Suite 1194 Chicago, IL 60654                                  312-644-0680                                                                                                   jmrkvicka@arch-com.com"
UP-03,SEAT UPHOLSTERY,ARC COM,"54"" WIDTH",N/A,"DAKOTA 
# AC-69935",COLOR: ONYX #16,,CLASS 1 -NFPA 260,,,,"Jim Mrkvicka  Arc/Com                         Merchandise Mart                                                   Suite 1194 Chicago, IL 60654                                  312-644-0680                                                                                                   jmrkvicka@arch-com.com"
VCT-01,VINYL COMPOSITE TILES,ARMSTRONG (OR EQUIVALENT),"12"" x 12""","1/8""","IMPERIAL TEXTURE / 
STANDARD EXCELON",CHARCOAL 51915,CONCRETE T&G PANELS,AT MEZZANINE; VINYL BASEBOARD TO MATCH ALONG BASE OF WALLS,,,,"Kyle Focht
877.276.7876, Opt. 8, Ext 3161
kdfocht@armstrong.com"
VP-02,VENETIAN PLASTER,ARTISAN VENETIAN PLASTER,N/A,N/A,SIM TO #2923A,MATCH ARCHITECT'S CONTROL SAMPLE,GYPSUM BOARD,PERIMETER SOFFIT - SEE RCP,,,,"RENEE PINTO
ARTISAN VENETIAN PLASTER
773.851.7937"
VP-03,VENETIAN PLASTER,ARTISAN VENETIAN PLASTER,N/A,N/A,SIM TO #2923A,MATCH ARCHITECT'S CONTROL SAMPLE,GYPSUM BOARD,SEE INT. ELEVATIONS,,,,"RENEE PINTO
ARTISAN VENETIAN PLASTER
773.851.7937"
WD-01,HARDWOOD VENEER,LAB DESIGN,"48"" x 96""
(NOMINAL)",,VN706 / ETERNIT WALNUT,SUPER MATTE,NON-COMBUSTIBLE,"GENERAL MILLWORK, INTEROR CEILING SLATS",,http://www.labdesignlaminate.com/eternit-wood.html,,"Younghi Kim | Parkwood Chicago
ykim@parkwoodchicago.com
847.577.8001"
WD-02,SOLID HARDWOOD ,VARIES,SEE DWGS,,WALNUT / SOLID,RIFT CUT / FINISH TO MATCH WD-01,NON-COMBUSTIBLE,SEE DWGS. FOR LOCATIONS,,,,
WD-03,RAINSCREEN WOOD CLADDING,RESYSTA,173mm X 13mm,,RESCP120612 CP PROFILE,STAIN TBD (MIN 3 COATS + SEAL),"USE VENTILATED FACADE CLADDING, 1/8"" MIN SPACING VERICALLY, 3./8"" MIN SPACING HORIZONTALLY",,,"Brochure: http://www.jwlumber.com/wp-content/uploads/2015/07/resysta_siding.pdf

Drawings: http://tru-grain.com/_filelib/FileCabinet/Technical_Documents/Architect_Drawings/4A_-_6_in_Siding_SFB006060_-_Architect_08052015.PDF",16006 Doc B's Coral Gables\INFORMATION\PRODUCTS\07 - Thermal and Moisture Protection\074643 - Composition Siding,"RESYSTA
Dolores Simon
312.467.9657
dsimon@resystausa.com"
WD-04,SOLID HARDWOOD,VARIES,SEE DWGS,,IPE / SOLID,RIFT CUT,NON-COMBUSTIBLE,OUTDOOR SLATS,,,,
WD-05,SOLID HARDWOOD,VARIES,SEE DWGS,,TEAK / SOLID,RIFT CUT ,NON-COMBUSTIBLE,OUTDOOR BENCH,,,,
WD-06,WOOD PANELS,JC GORDON GROUP,,VARIES,WOODSTONE PANEL,STAIN TO MATCH ARCHITECT'S CONTROL SAMPLE,NON-COMBUSTIBLE,BAR DINING FOCAL WALL,,,,"JC Gordon Group Limited
312.316.1110
john@jcgordongroup.com"
